Hospital Id,Hospital Name,State,District,Hospital Contact,Current Specialities,Hospital Type,Empanelment Type,OnBoarded For Convergence Scheme
HOSP7P201126,maple care hospital,NCT OF Delhi,SOUTH WEST DELHI,9818798718,"M1, M2, S8, M7, S7, M3, M5, S1, S10, S11, S12, S14, S15, S16, S2, S3, S4, S5, S6, S9",Private(For Profit),PMJAY,No
HOSP7P201189,SEHGAL NURSING HOME,NCT OF Delhi,NORTH DELHI,9911917070,"M1, M7, M2, S1, S2, S4, S5",Private(Not For Profit),PMJAY,No
HOSP7P201305,DALCO Healthcare & Wellness Center,NCT OF Delhi,EAST DELHI,8585982468,-NA-,Private(For Profit),Only CGHS,No
HOSP7P201350,DALCO Healthcare & Wellness Center,NCT OF Delhi,SOUTH DELHI,9953024116,-NA-,Private(For Profit),Only CGHS,No
HOSP7P201445,SUMANVEDA ADVANCED AYURVEDA CLINIC,NCT OF Delhi,NORTH DELHI,8510004947,CP,Private(For Profit),Only CGHS,No
HOSP7P201568,DALCO Healthcare & Wellness Center,NCT OF Delhi,NORTH DELHI,9821086977,-NA-,Private(For Profit),Only CGHS,No
HOSP7P201569,sri sri ayurveda panchkarma ,NCT OF Delhi,CENTRAL DELHI,8860329790,CP,Private(For Profit),Only CGHS,No
HOSP7P201759,SANDHYASHI NEURO PANCHKARMA  A UNIT OF SANDHYA PHARMA AND RESEARCH UNIT,NCT OF Delhi,NORTH WEST DELHI,8130376494,CP,Private(For Profit),Only CGHS,Yes
HOSP7P201939,JEENA SIKHO LIFECARE LIMITED,NCT OF Delhi,NORTH WEST DELHI,9971507557,OC,Private(For Profit),Only CGHS,No
HOSP7P202056,Santhigram Kerala Ayurveda,NCT OF Delhi,SOUTH DELHI,9911349335,-NA-,Private(For Profit),Only CGHS,No
HOSP7P202290,DR DAS PATH LAB MANAGED BY SUSHRUTA FOCUS PVT LTD,NCT OF Delhi,SOUTH DELHI,9560040139,-NA-,Private(For Profit),Only CGHS,Yes
HOSP7P202573,Ayurdhara Ayurvedic ,NCT OF Delhi,EAST DELHI,9582888040,-NA-,,Only CGHS,No
HOSP7P204329,Maharaja Agrasen Hospital,NCT OF Delhi,WEST DELHI,9910172476,"BM, CP, MC, MG, MN, MO, MP, MR, OC, SB, SE, SG, SL, SM, SN, SO, SP, SS, SU, SV",Private(Not For Profit),State Specific Empanelment,No
HOSP7P204452,MGS SUPER SPECIALITY HOSPITAL,NCT OF Delhi,WEST DELHI,9873434700,"CP, MC, MG, MO, OC, SB, SE, SG, SL, SM, SN, SO, SP, SS, SU, SV",Private(Not For Profit),State Specific Empanelment,No
HOSP7P204622,Centre for Sight Safdarjung Enclave A Unit of New Delhi Centre for Sight Ltd,NCT OF Delhi,SOUTH DELHI,9958422442,SE,Private(For Profit),State Specific Empanelment,No
HOSP7P204711,Centre for Sight Dwarka A Unit of New Delhi Centre for Sight Ltd ,NCT OF Delhi,SOUTH WEST DELHI,9958422442,SE,Private(For Profit),State Specific Empanelment,No
HOSP7P204796,Bhagwati Ayurveda and Panchakarma Research Centre,NCT OF Delhi,SOUTH DELHI,8905365005,CP,Private(For Profit),Only CGHS,Yes
HOSP7P204848,Sukhayu Ayurved,NCT OF Delhi,NEW DELHI,9214302965,OC,Private(For Profit),Only CGHS,No
HOSP7P204881,Maharaja Agrasen Hospital Dwarka,NCT OF Delhi,SOUTH WEST DELHI,9910172476,"BM, CP, MC, MG, MN, MO, MP, MR, OC, SB, SE, SG, SL, SM, SN, SO, SP, SS, SU, SV",Private(Not For Profit),State Specific Empanelment,No
HOSP7P205002,JIVODAYA HOSPITAL,NCT OF Delhi,NORTH WEST DELHI,7011023230,"CP, MG, OC, SB, SG, SL, SM, SO, SU",Private(Not For Profit),Only CGHS,No
HOSP7P205158,JEENA SIKHO LIFECARE LIMITED,NCT OF Delhi,NORTH WEST DELHI,9971507557,OC,Private(For Profit),Only CGHS,No
HOSP7P205608,URJA  AYURVED AYURVEDIC NATUROPATHY AND YOGA CLINIC,NCT OF Delhi,EAST DELHI,7827145803,OC,Private(For Profit),Only CGHS,No
HOSP7P206033,Eye7 Hospitals Pvt Ltd,NCT OF Delhi,SOUTH DELHI,9560466110,SE,Private(For Profit),State Specific Empanelment,No
HOSP7P206058,SAVE SIGHT CENTRE,NCT OF Delhi,NORTH WEST DELHI,9210914391,SE,Private(For Profit),State Specific Empanelment,No
HOSP7P206090,Chaudhary Eye Centre & Laser Vision,NCT OF Delhi,CENTRAL DELHI,9717896103,SE,Private(For Profit),State Specific Empanelment,No
HOSP7P206154,JEENA SIKHO LIFECARE LIMITED,NCT OF Delhi,WEST DELHI,9971507557,OC,Private(For Profit),Only CGHS,No
HOSP7P206155,JEENA SIKHO LIFECARE LIMITED,NCT OF Delhi,WEST DELHI,9971507557,OC,Private(For Profit),Only CGHS,No
HOSP7P206156,JEENA SIKHO LIFECARE LIMITED,NCT OF Delhi,WEST DELHI,9971507557,OC,Private(For Profit),Only CGHS,No
HOSP7P206157,JEENA SIKHO LIFECARE LIMITED,NCT OF Delhi,WEST DELHI,9971507557,OC,Private(For Profit),Only CGHS,No
HOSP7P206158,JEENA SIKHO LIFECARE LIMITED,NCT OF Delhi,WEST DELHI,9971507557,OC,Private(For Profit),Only CGHS,No
HOSP7P206159,OREGANO LIFE PRIVATE LIMITED,NCT OF Delhi,EAST DELHI,9971507557,OC,Private(For Profit),Only CGHS,Yes
HOSP7P206511,JEENA SIKHO LIFECARE LIMITED,NCT OF Delhi,SOUTH WEST DELHI,9971507557,OC,Private(Not For Profit),Only CGHS,No
HOSP7P206571,JEENA SIKHO LIFECARE LIMITED,NCT OF Delhi,WEST DELHI,9971507557,OC,Private(Not For Profit),Only CGHS,No
HOSP7P206756,NIRMAL HOSPITAL ,NCT OF Delhi,NORTH WEST DELHI,9999714120,"CP, MG, OC, SB, SG, SO, SU",Private(For Profit),Only CGHS,No
HOSP7P206757,RAM LAL KUNDAN LAL ORTHOPAEDIC HOSPITAL & R.K. MATERNITY HOME,NCT OF Delhi,EAST DELHI,9811141990,"BM, CP, MC, MG, MN, MO, MP, MR, OC, SB, SE, SG, SL, SM, SN, SO, SP, SS, SU, SV",Private(For Profit),Only CGHS,No
HOSP7P206894,Shri Dhanwantry Ayurvedic College & Hospital,NCT OF Delhi,NEW DELHI,9781556695,CP,Private(Not For Profit),Only CGHS,Yes
HOSP7P207163,VRINDAVAN AYURVEDA CHIKITSALAYAM,NCT OF Delhi,SOUTH WEST DELHI,7901778899,CP,Private(For Profit),Only CGHS,Yes
HOSP7P207210,Max Super Speciality Hospital Dwarka A unit of Muthoot Hospital Pvt Ltd,NCT OF Delhi,NORTH WEST DELHI,9873823879,"CP, MC, MG, MN, MO, MP, MR, OC, SB, SE, SG, SL, SN, SO, SS, SU, SV",Private(For Profit),Only CGHS,Yes
HOSP7P207506,SHRI RAM HOSPITAL ,NCT OF Delhi,WEST DELHI,7840029192,"M1, M2, S8, M7, S7, S1, S10, S11, S12, S2, S3, S4, S5, S9",Private(For Profit),PMJAY,No
